class,default,sgl_grp,def_ln-freq_def,def_def_shuf,clz_clz-cvg_def,clz_ln-cvg_def,n-tst_clz-cvg_def,n-tst_ln-cvg_def,n-tst_clz-sim_def,n-tst_clz-diff_def,n-tst_clz-ext_def,n-tst_ln-ext_def,01-tst_clz-cvg_def,01-tst_ln-cvg_def,mean_deviation
delight.nashornsandbox.internal.InvokeOperation,1630,153,1465,1650,226,211,192,173,168,157,181,179,1696,1468,6.61
delight.nashornsandbox.NashornSandboxes,1710,261,1615,1581,321,380,372,404,3125,427,283,312,402,357,4.04
delight.nashornsandbox.internal.RemoveComments,31,1,27,73,20,19,20,22,21,22,21,20,17,19,3.7
delight.nashornsandbox.internal.SandboxClassFilter,3183,564,1089,1027,1152,1128,1075,1573,1461,1388,785,820,1053,1072,3.13
delight.nashornsandbox.internal.NashornSandboxImpl$1,3666,3353,3394,3239,1184,1114,1242,1126,1154,1200,1271,1273,1153,1272,2.61
delight.nashornsandbox.internal.LinkedHashMapSecuredJsCache,6889,3554,6389,6344,3984,3851,3824,3833,3797,3667,4027,3699,3842,4128,1.69
delight.nashornsandbox.exceptions.ScriptAbuseException,8991,6792,7151,7622,7321,7364,5910,6398,5469,5623,6064,5931,7862,7255,1.37
delight.nashornsandbox.internal.NashornDetection,340,179,233,1737,1069,288,168,176,184,167,216,197,2356,241,1.37
delight.nashornsandbox.internal.StandaloneNashornClassFilter,19541,11778,16536,16479,13244,12868,13448,14236,21354,14441,14828,15501,13875,13427,1.35
delight.nashornsandbox.internal.EvaluateCompiledOperation,6688,2555,5849,5433,6249,5777,6205,5702,5587,5766,6535,6191,5661,6053,1.25
delight.nashornsandbox.internal.ThreadMonitor,69699,54791,57262,63200,56920,56833,55552,56044,58331,55340,64094,66235,63590,58410,1.19
delight.nashornsandbox.internal.EvaluateOperation,9267,9008,8006,8218,8140,8077,8099,8713,8200,8142,8332,8990,11082,7750,1.1
delight.nashornsandbox.internal.JsSanitizer,204159,172824,214124,198398,181829,181695,181016,183120,182213,182262,194905,193075,181105,184160,1.09
delight.nashornsandbox.internal.NashornSandboxImpl,250205,219245,243236,238412,234031,235317,233848,236482,241652,232349,252662,251277,233540,234568,1.06
