seed,round0,round1,round2,round3,round4,round5
0,986203,917042,810069,782110,688943,686108
42,729702,701868,713135,737445,796666,742160
123,750709,655412,732606,783707,1021718,1089728
216,942429,890150,902554,1009704,1002580,997196
1202,940500,869164,911314,994075,1012365,987926
1999,1083348,1016416,1039797,1063365,1029249,960596
2002,704795,767894,750655,728724,719430,727893
2024,756343,702186,726250,747552,716995,671051
31415,720638,689478,689482,673513,674091,678721
99999,773604,767633,709600,763719,717084,747749
fastest,673465,665172,689160,644222,659296,654602
