seed,round0,round1,round2,round3,round4,round5,avg.,/avg. default,/avg. fastest
0,442375,436359,433914,430734,426922,428691,433166,1.088,1.222
42,302555,304791,303571,303989,304567,304740,304036,0.764,0.858
123,426704,423433,429910,461011,463003,406626,435114,1.093,1.228
216,301729,301046,302432,301535,301046,302680,301745,0.758,0.852
1202,396946,397167,389582,316063,342916,345896,364762,0.917,1.029
1999,465392,457136,453274,360223,405368,408304,424950,1.068,1.199
2002,300923,300733,300674,301420,301361,300869,300997,0.756,0.849
2024,461551,453846,401727,400009,422609,417879,426270,1.071,1.203
31415,458524,417869,413084,398770,424359,428609,423536,1.064,1.195
99999,306386,306831,306483,305675,382126,304123,318604,0.801,0.899
default,385277,406044,376796,401875,405757,412035,397964,1.0,1.123
fastest,392305,396583,343736,318155,337682,337652,354352,0.89,1.0
