seed,round0,round1,round2,round3,round4,round5,avg.,/avg. default,/avg. fastest
0,250380,219203,297125,272939,262281,249473,258567,1.198,1.214
42,181745,177497,175418,175303,176245,176962,177195,0.821,0.832
123,247397,264710,228958,213496,179441,271538,234257,1.085,1.1
216,294846,300638,239478,286961,249185,207187,263049,1.219,1.235
1202,290840,304937,315791,213639,208120,212371,257616,1.193,1.209
1999,308866,299097,211327,203539,177723,175003,229259,1.062,1.076
2002,337886,248393,276992,199143,176663,203866,240490,1.114,1.129
2024,241462,281287,233247,215855,191736,292740,242721,1.124,1.14
31415,215647,209254,204430,209262,202629,242511,213956,0.991,1.004
99999,218323,205156,219936,211576,213423,180390,208134,0.964,0.977
default,206314,255031,217020,174018,175115,267642,215857,1.0,1.013
fastest,200214,222360,195554,235249,200907,223716,213000,0.987,1.0
