clazz,method,methodDesc,indexes,mutator,test,default,single-group,single-group_errors-at-the-end,by-proportions,double
me.zhyd.oauth.AuthRequestBuilder,authConfig,(Ljava/util/function/Function;)Lme/zhyd/oauth/AuthRequestBuilder;,[13],org.pitest.mutationtest.engine.gregor.mutators.returns.NullReturnValsMutator,me.zhyd.oauth.AuthRequestBuilderTest.build(me.zhyd.oauth.AuthRequestBuilderTest),False,False,False,,False
me.zhyd.oauth.cache.AuthDefaultCache,containsKey,(Ljava/lang/String;)Z,[37],org.pitest.mutationtest.engine.gregor.mutators.returns.BooleanTrueReturnValsMutator,me.zhyd.oauth.request.AuthExtendRequestTest.login(me.zhyd.oauth.request.AuthExtendRequestTest),True,True,,True,True
me.zhyd.oauth.cache.AuthDefaultCache,schedulePrune,(J)V,[7],org.pitest.mutationtest.engine.gregor.mutators.VoidMethodCallMutator,me.zhyd.oauth.AuthRequestBuilderTest.build(me.zhyd.oauth.AuthRequestBuilderTest),True,True,True,True,
me.zhyd.oauth.request.AuthWeChatMpRequest,authorize,(Ljava/lang/String;)Ljava/lang/String;,[51],org.pitest.mutationtest.engine.gregor.mutators.returns.EmptyObjectReturnValsMutator,me.zhyd.oauth.request.AuthWeChatMpRequestTest.authorize(me.zhyd.oauth.request.AuthWeChatMpRequestTest),True,True,True,,True
me.zhyd.oauth.request.AuthWeChatMpRequest,authorize,(Ljava/lang/String;)Ljava/lang/String;,[51],org.pitest.mutationtest.engine.gregor.mutators.returns.EmptyObjectReturnValsMutator,me.zhyd.oauth.AuthRequestBuilderTest.build4(me.zhyd.oauth.AuthRequestBuilderTest),True,True,True,,True
me.zhyd.oauth.request.AuthQqRequest,authorize,(Ljava/lang/String;)Ljava/lang/String;,[22],org.pitest.mutationtest.engine.gregor.mutators.returns.EmptyObjectReturnValsMutator,me.zhyd.oauth.AuthRequestBuilderTest.build4(me.zhyd.oauth.AuthRequestBuilderTest),True,True,True,,True
me.zhyd.oauth.request.AuthOktaRequest,authorize,(Ljava/lang/String;)Ljava/lang/String;,[68],org.pitest.mutationtest.engine.gregor.mutators.returns.EmptyObjectReturnValsMutator,me.zhyd.oauth.AuthRequestBuilderTest.build4(me.zhyd.oauth.AuthRequestBuilderTest),True,True,True,,True
me.zhyd.oauth.request.AuthWeChatEnterpriseThirdQrcodeRequest,authorize,(Ljava/lang/String;)Ljava/lang/String;,[40],org.pitest.mutationtest.engine.gregor.mutators.returns.EmptyObjectReturnValsMutator,me.zhyd.oauth.AuthRequestBuilderTest.build4(me.zhyd.oauth.AuthRequestBuilderTest),True,True,True,,True
me.zhyd.oauth.request.AuthSlackRequest,authorize,(Ljava/lang/String;)Ljava/lang/String;,[43],org.pitest.mutationtest.engine.gregor.mutators.returns.EmptyObjectReturnValsMutator,me.zhyd.oauth.AuthRequestBuilderTest.build4(me.zhyd.oauth.AuthRequestBuilderTest),True,True,True,,True
me.zhyd.oauth.request.AuthFeishuRequest,authorize,(Ljava/lang/String;)Ljava/lang/String;,[34],org.pitest.mutationtest.engine.gregor.mutators.returns.EmptyObjectReturnValsMutator,me.zhyd.oauth.AuthRequestBuilderTest.build4(me.zhyd.oauth.AuthRequestBuilderTest),True,True,True,,True
me.zhyd.oauth.request.AuthToutiaoRequest,authorize,(Ljava/lang/String;)Ljava/lang/String;,[50],org.pitest.mutationtest.engine.gregor.mutators.returns.EmptyObjectReturnValsMutator,me.zhyd.oauth.AuthRequestBuilderTest.build4(me.zhyd.oauth.AuthRequestBuilderTest),True,True,True,,True
me.zhyd.oauth.request.AuthPinterestRequest,authorize,(Ljava/lang/String;)Ljava/lang/String;,[22],org.pitest.mutationtest.engine.gregor.mutators.returns.EmptyObjectReturnValsMutator,me.zhyd.oauth.AuthRequestBuilderTest.build4(me.zhyd.oauth.AuthRequestBuilderTest),True,True,True,,True
me.zhyd.oauth.request.AuthJdRequest,authorize,(Ljava/lang/String;)Ljava/lang/String;,[48],org.pitest.mutationtest.engine.gregor.mutators.returns.EmptyObjectReturnValsMutator,me.zhyd.oauth.AuthRequestBuilderTest.build4(me.zhyd.oauth.AuthRequestBuilderTest),True,True,True,,True
me.zhyd.oauth.request.AuthTaobaoRequest,authorize,(Ljava/lang/String;)Ljava/lang/String;,[43],org.pitest.mutationtest.engine.gregor.mutators.returns.EmptyObjectReturnValsMutator,me.zhyd.oauth.AuthRequestBuilderTest.build4(me.zhyd.oauth.AuthRequestBuilderTest),True,True,True,,True
me.zhyd.oauth.request.AuthFigmaRequest,authorize,(Ljava/lang/String;)Ljava/lang/String;,[22],org.pitest.mutationtest.engine.gregor.mutators.returns.EmptyObjectReturnValsMutator,me.zhyd.oauth.AuthRequestBuilderTest.build4(me.zhyd.oauth.AuthRequestBuilderTest),True,True,True,,True
me.zhyd.oauth.request.AuthCodingRequest,authorize,(Ljava/lang/String;)Ljava/lang/String;,[57],org.pitest.mutationtest.engine.gregor.mutators.returns.EmptyObjectReturnValsMutator,me.zhyd.oauth.AuthRequestBuilderTest.build4(me.zhyd.oauth.AuthRequestBuilderTest),True,True,True,,True
me.zhyd.oauth.request.AuthDingTalkV2Request,authorize,(Ljava/lang/String;)Ljava/lang/String;,[82],org.pitest.mutationtest.engine.gregor.mutators.returns.EmptyObjectReturnValsMutator,me.zhyd.oauth.AuthRequestBuilderTest.build4(me.zhyd.oauth.AuthRequestBuilderTest),True,True,True,,True
me.zhyd.oauth.request.AuthStackOverflowRequest,authorize,(Ljava/lang/String;)Ljava/lang/String;,[22],org.pitest.mutationtest.engine.gregor.mutators.returns.EmptyObjectReturnValsMutator,me.zhyd.oauth.AuthRequestBuilderTest.build4(me.zhyd.oauth.AuthRequestBuilderTest),True,True,True,,True
me.zhyd.oauth.request.AuthGithubRequest,authorize,(Ljava/lang/String;)Ljava/lang/String;,[22],org.pitest.mutationtest.engine.gregor.mutators.returns.EmptyObjectReturnValsMutator,me.zhyd.oauth.AuthRequestBuilderTest.build2(me.zhyd.oauth.AuthRequestBuilderTest),True,True,True,,True
me.zhyd.oauth.request.AuthGithubRequest,authorize,(Ljava/lang/String;)Ljava/lang/String;,[22],org.pitest.mutationtest.engine.gregor.mutators.returns.EmptyObjectReturnValsMutator,me.zhyd.oauth.AuthRequestBuilderTest.build4(me.zhyd.oauth.AuthRequestBuilderTest),True,True,True,,True
me.zhyd.oauth.request.AuthGiteeRequest,authorize,(Ljava/lang/String;)Ljava/lang/String;,[22],org.pitest.mutationtest.engine.gregor.mutators.returns.EmptyObjectReturnValsMutator,me.zhyd.oauth.AuthRequestBuilderTest.build(me.zhyd.oauth.AuthRequestBuilderTest),True,True,True,,True
me.zhyd.oauth.request.AuthGiteeRequest,authorize,(Ljava/lang/String;)Ljava/lang/String;,[22],org.pitest.mutationtest.engine.gregor.mutators.returns.EmptyObjectReturnValsMutator,me.zhyd.oauth.AuthRequestBuilderTest.build4(me.zhyd.oauth.AuthRequestBuilderTest),True,True,True,,True
