clazz,method,methodDesc,indexes,mutator,test,default,single-group,single-group_errors-at-the-end,by-proportions,double
org.apache.commons.codec.digest.MurmurHash3,getLittleEndianInt,([BI)I,[7],org.pitest.mutationtest.engine.gregor.mutators.MathMutator,org.apache.commons.codec.digest.MurmurHash3Test.[engine:junit-jupiter]/[class:org.apache.commons.codec.digest.MurmurHash3Test]/[method:testIncrementalHashWithUnprocessedBytesAndHugeLengthArray()],True,True,True,,
org.apache.commons.codec.digest.MurmurHash3,getLittleEndianInt,([BI)I,[11],org.pitest.mutationtest.engine.gregor.mutators.MathMutator,org.apache.commons.codec.digest.MurmurHash3Test.[engine:junit-jupiter]/[class:org.apache.commons.codec.digest.MurmurHash3Test]/[method:testIncrementalHashWithUnprocessedBytesAndHugeLengthArray()],True,True,True,,
org.apache.commons.codec.digest.MurmurHash3,getLittleEndianInt,([BI)I,[14],org.pitest.mutationtest.engine.gregor.mutators.MathMutator,org.apache.commons.codec.digest.MurmurHash3Test.[engine:junit-jupiter]/[class:org.apache.commons.codec.digest.MurmurHash3Test]/[method:testIncrementalHashWithUnprocessedBytesAndHugeLengthArray()],True,True,True,,
org.apache.commons.codec.digest.MurmurHash3,getLittleEndianInt,([BI)I,[16],org.pitest.mutationtest.engine.gregor.mutators.MathMutator,org.apache.commons.codec.digest.MurmurHash3Test.[engine:junit-jupiter]/[class:org.apache.commons.codec.digest.MurmurHash3Test]/[method:testIncrementalHashWithUnprocessedBytesAndHugeLengthArray()],True,True,True,,
org.apache.commons.codec.digest.MurmurHash3,getLittleEndianInt,([BI)I,[17],org.pitest.mutationtest.engine.gregor.mutators.MathMutator,org.apache.commons.codec.digest.MurmurHash3Test.[engine:junit-jupiter]/[class:org.apache.commons.codec.digest.MurmurHash3Test]/[method:testIncrementalHashWithUnprocessedBytesAndHugeLengthArray()],True,True,True,,
org.apache.commons.codec.digest.MurmurHash3,getLittleEndianInt,([BI)I,[21],org.pitest.mutationtest.engine.gregor.mutators.MathMutator,org.apache.commons.codec.digest.MurmurHash3Test.[engine:junit-jupiter]/[class:org.apache.commons.codec.digest.MurmurHash3Test]/[method:testIncrementalHashWithUnprocessedBytesAndHugeLengthArray()],False,False,False,,
org.apache.commons.codec.digest.MurmurHash3,getLittleEndianInt,([BI)I,[24],org.pitest.mutationtest.engine.gregor.mutators.MathMutator,org.apache.commons.codec.digest.MurmurHash3Test.[engine:junit-jupiter]/[class:org.apache.commons.codec.digest.MurmurHash3Test]/[method:testIncrementalHashWithUnprocessedBytesAndHugeLengthArray()],True,True,True,,
org.apache.commons.codec.digest.MurmurHash3,getLittleEndianInt,([BI)I,[26],org.pitest.mutationtest.engine.gregor.mutators.MathMutator,org.apache.commons.codec.digest.MurmurHash3Test.[engine:junit-jupiter]/[class:org.apache.commons.codec.digest.MurmurHash3Test]/[method:testIncrementalHashWithUnprocessedBytesAndHugeLengthArray()],True,True,True,,
org.apache.commons.codec.digest.MurmurHash3,getLittleEndianInt,([BI)I,[27],org.pitest.mutationtest.engine.gregor.mutators.MathMutator,org.apache.commons.codec.digest.MurmurHash3Test.[engine:junit-jupiter]/[class:org.apache.commons.codec.digest.MurmurHash3Test]/[method:testIncrementalHashWithUnprocessedBytesAndHugeLengthArray()],True,True,True,,
org.apache.commons.codec.digest.MurmurHash3,getLittleEndianInt,([BI)I,[31],org.pitest.mutationtest.engine.gregor.mutators.MathMutator,org.apache.commons.codec.digest.MurmurHash3Test.[engine:junit-jupiter]/[class:org.apache.commons.codec.digest.MurmurHash3Test]/[method:testIncrementalHashWithUnprocessedBytesAndHugeLengthArray()],False,False,False,,
org.apache.commons.codec.digest.MurmurHash3,getLittleEndianInt,([BI)I,[34],org.pitest.mutationtest.engine.gregor.mutators.MathMutator,org.apache.commons.codec.digest.MurmurHash3Test.[engine:junit-jupiter]/[class:org.apache.commons.codec.digest.MurmurHash3Test]/[method:testIncrementalHashWithUnprocessedBytesAndHugeLengthArray()],True,True,True,,
org.apache.commons.codec.digest.MurmurHash3,getLittleEndianInt,([BI)I,[36],org.pitest.mutationtest.engine.gregor.mutators.MathMutator,org.apache.commons.codec.digest.MurmurHash3Test.[engine:junit-jupiter]/[class:org.apache.commons.codec.digest.MurmurHash3Test]/[method:testIncrementalHashWithUnprocessedBytesAndHugeLengthArray()],True,True,True,,
org.apache.commons.codec.digest.MurmurHash3,getLittleEndianInt,([BI)I,[37],org.pitest.mutationtest.engine.gregor.mutators.MathMutator,org.apache.commons.codec.digest.MurmurHash3Test.[engine:junit-jupiter]/[class:org.apache.commons.codec.digest.MurmurHash3Test]/[method:testIncrementalHashWithUnprocessedBytesAndHugeLengthArray()],True,True,True,,
org.apache.commons.codec.digest.MurmurHash3,getLittleEndianInt,([BI)I,[38],org.pitest.mutationtest.engine.gregor.mutators.returns.PrimitiveReturnsMutator,org.apache.commons.codec.digest.MurmurHash3Test.[engine:junit-jupiter]/[class:org.apache.commons.codec.digest.MurmurHash3Test]/[method:testIncrementalHashWithUnprocessedBytesAndHugeLengthArray()],True,True,True,,
org.apache.commons.codec.digest.MurmurHash3,mix32,(II)I,[5],org.pitest.mutationtest.engine.gregor.mutators.MathMutator,org.apache.commons.codec.digest.MurmurHash3Test.[engine:junit-jupiter]/[class:org.apache.commons.codec.digest.MurmurHash3Test]/[method:testIncrementalHashWithUnprocessedBytesAndHugeLengthArray()],True,True,True,,
org.apache.commons.codec.digest.MurmurHash3,mix32,(II)I,[17],org.pitest.mutationtest.engine.gregor.mutators.MathMutator,org.apache.commons.codec.digest.MurmurHash3Test.[engine:junit-jupiter]/[class:org.apache.commons.codec.digest.MurmurHash3Test]/[method:testIncrementalHashWithUnprocessedBytesAndHugeLengthArray()],True,True,True,,
org.apache.commons.codec.digest.MurmurHash3,mix32,(II)I,[23],org.pitest.mutationtest.engine.gregor.mutators.MathMutator,org.apache.commons.codec.digest.MurmurHash3Test.[engine:junit-jupiter]/[class:org.apache.commons.codec.digest.MurmurHash3Test]/[method:testIncrementalHashWithUnprocessedBytesAndHugeLengthArray()],True,True,True,,
org.apache.commons.codec.digest.MurmurHash3,mix32,(II)I,[31],org.pitest.mutationtest.engine.gregor.mutators.MathMutator,org.apache.commons.codec.digest.MurmurHash3Test.[engine:junit-jupiter]/[class:org.apache.commons.codec.digest.MurmurHash3Test]/[method:testIncrementalHashWithUnprocessedBytesAndHugeLengthArray()],True,True,True,,
