project,suffix,total_time_ms,mutation_testing_ms,unit_count,unit_total_ms,unit_pct_of_mutation_time,process_count,process_total_ms,process_pct_of_mutation_time,step_start_minion_count,step_start_minion_total_ms,step_start_minion_pct_of_mutation_time,step_read_args_count,step_read_args_total_ms,step_read_args_pct_of_mutation_time,step_configure_verbosity_count,step_configure_verbosity_total_ms,step_configure_verbosity_pct_of_mutation_time,step_get_context_classloader_count,step_get_context_classloader_total_ms,step_get_context_classloader_pct_of_mutation_time,step_build_byte_source_count,step_build_byte_source_total_ms,step_build_byte_source_pct_of_mutation_time,step_create_hotswap_count,step_create_hotswap_total_ms,step_create_hotswap_pct_of_mutation_time,step_create_engine_count,step_create_engine_total_ms,step_create_engine_pct_of_mutation_time,step_create_reset_env_count,step_create_reset_env_total_ms,step_create_reset_env_pct_of_mutation_time,step_build_worker_count,step_build_worker_total_ms,step_build_worker_pct_of_mutation_time,step_find_tests_count,step_find_tests_total_ms,step_find_tests_pct_of_mutation_time,mutation_error_count,mutation_error_total_ms,mutation_error_pct_of_mutation_time,mutation_ok_count,mutation_ok_total_ms,mutation_ok_pct_of_mutation_time,replaced_total_ms,replaced_pct_of_mutation_time,tests_total_ms,tests_count,tests_pct_of_mutation_time,mutations_total,mutations_killed,mutations_killed_pct,total_tests,tests_per_mutation,log
commons-cli,default,226000.000,224000.000,28,224633.239,100.283,42,224628.219,100.280,42,4788.682,2.138,42,838.658,0.374,42,3.230,0.001,42,1.636,0.001,42,271.782,0.121,42,10.726,0.005,42,912.404,0.407,42,31.024,0.014,42,173.893,0.078,42,24534.096,10.953,14,43704.299,19.511,863,149281.045,66.643,30259.000,13.508,117410.000,864,52.415,877,817,93,68218,77.79,logs/commons-cli_default.log
commons-cli,single-group,225000.000,223000.000,1,222559.740,99.803,15,222555.665,99.801,15,1930.308,0.866,15,578.020,0.259,15,1.292,0.001,15,0.582,0.000,15,113.875,0.051,15,4.793,0.002,15,361.234,0.162,15,12.153,0.005,15,68.593,0.031,15,15934.240,7.145,14,45325.159,20.325,863,158190.177,70.937,38991.000,17.485,114397.000,863,51.299,877,817,93,68218,77.79,logs/commons-cli_single-group.log
commons-cli,default_master-finder,176000.000,173000.000,28,173710.784,100.411,42,173706.245,100.408,42,6259.419,3.618,42,908.617,0.525,42,3.469,0.002,42,1.696,0.001,42,283.592,0.164,42,9.777,0.006,42,934.684,0.540,42,37.975,0.022,42,174.398,0.101,42,777.041,0.449,14,43686.481,25.252,863,120549.634,69.682,22095.000,12.772,93453.000,863,54.019,877,809,92,42935,48.96,logs/commons-cli_default_master-finder.log
commons-cli,single-group_master-finder,157000.000,154000.000,1,154483.752,100.314,15,154480.256,100.312,15,2517.620,1.635,15,595.311,0.387,15,1.359,0.001,15,0.631,0.000,15,118.444,0.077,15,4.151,0.003,15,377.748,0.245,15,16.072,0.010,15,67.705,0.044,15,382.234,0.248,14,43858.160,28.479,863,106509.889,69.162,30512.000,19.813,71526.000,863,46.445,877,811,92,42935,48.96,logs/commons-cli_single-group_master-finder.log
commons-codec,default,702000.000,693000.000,75,693090.355,100.013,128,693078.909,100.011,128,14284.096,2.061,128,2426.644,0.350,128,9.645,0.001,128,4.659,0.001,128,803.065,0.116,128,28.794,0.004,128,2685.355,0.387,128,95.861,0.014,128,516.673,0.075,128,78646.842,11.349,53,156268.445,22.550,3778,437070.279,63.069,97289.000,14.039,325134.000,3779,46.917,3874,3547,92,85736,22.13,logs/commons-codec_default.log
commons-codec,single-group,992000.000,983000.000,1,982140.236,99.913,54,982128.424,99.911,54,6396.608,0.651,54,2135.787,0.217,54,4.903,0.000,54,2.240,0.000,54,412.049,0.042,54,13.972,0.001,54,1277.881,0.130,54,46.389,0.005,54,247.233,0.025,54,352841.875,35.894,53,156824.726,15.954,3778,461788.682,46.977,150323.000,15.292,297840.000,3779,30.299,3874,3547,92,85736,22.13,logs/commons-codec_single-group.log
commons-codec,default_master-finder,1570000.000,1544000.000,75,1544596.474,100.039,132,1544586.744,100.038,132,18827.575,1.219,132,2668.738,0.173,132,9.938,0.001,132,4.909,0.000,132,861.750,0.056,132,33.453,0.002,132,2860.096,0.185,132,107.862,0.007,132,532.371,0.034,132,2218.481,0.144,57,218557.577,14.155,3775,1297656.116,84.045,79967.000,5.179,1215899.000,3776,78.750,3874,3502,90,67894,17.53,logs/commons-codec_default_master-finder.log
commons-codec,single-group_master-finder,1531000.000,1504000.000,1,1503540.801,99.969,58,1503529.105,99.969,58,8584.135,0.571,58,2302.694,0.153,58,5.702,0.000,58,2.560,0.000,58,461.267,0.031,58,19.059,0.001,58,1429.233,0.095,58,56.349,0.004,58,259.301,0.017,58,1545.506,0.103,57,218547.464,14.531,3775,1270165.872,84.453,101529.000,6.751,1172948.000,3777,77.989,3874,3501,90,67894,17.53,logs/commons-codec_single-group_master-finder.log
commons-collections,default,3472000.000,3448000.000,461,3448412.510,100.012,631,3448382.688,100.011,631,74370.791,2.157,631,11898.826,0.345,631,47.610,0.001,631,23.518,0.001,631,4181.715,0.121,631,153.051,0.004,631,13684.219,0.397,631,486.164,0.014,631,2733.554,0.079,631,513504.726,14.893,177,593562.714,17.215,8049,2232530.997,64.749,192043.000,5.570,2001751.000,8051,58.055,8226,7109,86,370063,44.99,logs/commons-collections_default.log
commons-collections,single-group,6324000.000,6300000.000,1,6295851.993,99.934,177,6295805.034,99.933,177,26267.575,0.417,177,17627.376,0.280,177,17.257,0.000,177,7.496,0.000,177,1301.918,0.021,177,47.193,0.001,177,3965.284,0.063,177,145.272,0.002,177,786.200,0.012,177,2996944.102,47.571,176,654783.176,10.393,8050,2592879.517,41.157,401519.000,6.373,2160005.000,8055,34.286,8226,7110,86,370084,44.99,logs/commons-collections_single-group.log
